motionType,expectedPointsAdded,yardsGained,bigPlay,successfulPlay
UP,-0.362858315464109,0,NO,NO
QUICK,-0.362858315464109,0,NO,NO
FLY,0.0312129966914654,7,NO,YES
FLY,-0.598638204392046,0,NO,NO
QUICK,2.35350958677009,25,YES,YES
IN,0.907255194382742,9,NO,YES
ACROSS,1.38846868847031,27,YES,YES
FLY,-0.419484387384728,0,NO,NO
FLY,0.0586777579737827,5,NO,YES
ACROSS,-0.196082077221945,4,NO,NO
FLY,-0.196082077221945,4,NO,NO
FLY,-0.0469192441087216,4,NO,NO
FLY,-0.499000323470682,1,NO,NO
ACROSS,-4.28028855787124,0,NO,NO
ACROSS,0.809383938321844,12,NO,YES
QUICK,0.380139918066561,7,NO,YES
IN,0.561714908573776,8,NO,YES
FLY,0.561714908573776,8,NO,YES
FLY,-1.50649569230154,0,NO,NO
ACROSS,-0.528795714024454,1,NO,NO
FLY,0.700862712226808,8,NO,YES
FLY,0.449608996510506,3,NO,YES
FLY,0.930739314295352,15,YES,YES
IN,-1.45807987614535,-8,NO,NO
FLY,0.187288830289617,6,NO,YES
QUICK,-1.1564738813322,-1,NO,NO
ACROSS,-0.535125370370224,0,NO,NO
OUT,1.40893850952853,16,YES,YES
QUICK,1.11843775433954,18,YES,YES
UP,1.11843775433954,18,YES,YES
UP,3.38191882730462,25,YES,YES
ACROSS,0.568739385227673,10,NO,YES
ACROSS,0.692108095390722,13,NO,YES
QUICK,-0.910374614293687,-8,NO,NO
QUICK,0.290618915110826,8,NO,YES
FLY,2.64494061586447,18,YES,YES
RETURN,0.250355340074748,7,NO,YES
FLY,0.880782441818155,13,NO,YES
FLY,-0.176078450633213,3,NO,NO
FLY,0.973737343912944,8,NO,YES
ACROSS,-0.549145556986332,1,NO,NO
UP,-0.552392891142517,0,NO,NO
OUT,2.51974106184207,15,YES,YES
FLY,-0.0133345943177119,7,NO,NO
FLY,-0.334127723239362,0,NO,NO
FLY,0.157475752057508,3,NO,YES
IN,-6.73095056542661,-19,NO,NO
ACROSS,-6.73095056542661,-19,NO,NO
QUICK,-0.624200005549937,2,NO,NO
UP,-0.83030105009675,0,NO,NO
FLY,1.02026217803359,3,NO,YES
IN,-1.09498111438006,0,NO,NO
FLY,-0.192907874472439,4,NO,NO
FLY,-0.56596843060106,2,NO,NO
OUT,-0.658481122285593,0,NO,NO
ACROSS,-0.658481122285593,0,NO,NO
FLY,1.53420335124247,14,NO,YES
FLY,1.59140125819249,6,NO,YES
FLY,-0.839468080434017,0,NO,NO
FLY,-0.505535134812817,2,NO,NO
